ID,diary.household.id,diary.person.id,diary.trip.id,carD,carP,pt,bike,walk
MA40063H12,MA40063H,1,2,0.7859713293617059,0.16540519189642766,0.04861329155699354,9.921353579424452E-6,2.658312935744936E-7
MA40063H22,MA40063H,2,2,0.7788982846594116,0.19372310346240637,0.027368516368935523,9.832070198780625E-6,2.6343904776032623E-7
MA40063H32,MA40063H,3,2,0.0,0.9490300698665289,0.0509124616123754,5.692483272561101E-5,5.436883701664622E-7
MA40067K14,MA40067K,1,4,0.3517511803588489,0.0874855313559683,0.004233945513218355,0.0033550235034959046,0.5531743192684686
MA40067K15,MA40067K,1,5,0.18433060077735347,0.04584564730591656,0.001828673378912558,0.003581057351261156,0.7644140211865563
MA40067K22,MA40067K,2,2,0.6367054828232839,0.0664790484622889,0.007302898526151604,0.009718719207190397,0.27979385098108506
MA40067K23,MA40067K,2,3,0.641478269574236,0.06697737984198707,0.007001071524780891,0.009758193534878843,0.27478508552411723
MA40067K26,MA40067K,2,6,0.3705603974389607,0.03869057717284798,0.004460347597163732,0.0035344269253174128,0.5827542508657101
MA40067K27,MA40067K,2,7,0.18936768795246586,0.019772067375266544,0.001878644393955881,0.0036789146683930364,0.7853026856099186
MA40068L32,MA40068L,3,2,0.06803718422650663,0.03436731133038297,0.0177567234228267,0.001161890857726691,0.878676890162557
MA40068L33,MA40068L,3,3,0.03050555971293621,0.015409133694771905,0.0,7.302230450279928E-4,0.9533550835472638
MA40069L34,MA40069L,3,4,0.40597272721594374,0.04238801350866796,0.00221094637971481,0.008004572665283132,0.5414237402303903
MA40069L44,MA40069L,4,4,0.40597272721594374,0.04238801350866796,0.00221094637971481,0.008004572665283132,0.5414237402303903
MA40111M14,MA40111M,1,4,0.8241595250267557,0.08605131019441421,0.08890992043005208,8.359274445398438E-4,4.3316904238146664E-5
MA40111M24,MA40111M,2,4,0.5909249349110339,0.2962301202801547,0.11221452388446945,5.993625696906407E-4,3.105835465123493E-5
MA40111M34,MA40111M,3,4,0.0,0.8550054930738819,0.14082555091409465,0.004120821219634522,4.813479238892419E-5
MA40111M44,MA40111M,4,4,0.0,0.8550054930738819,0.14082555091409465,0.004120821219634522,4.813479238892419E-5
MA40224B12,MA40224B,1,2,0.0,0.010694327416413043,0.01730967693560487,9.63176689183645E-4,0.9710328189587984
MA40226J14,MA40226J,1,4,0.74294852293543,0.18478188540214452,0.003615408680776708,0.007201784456202221,0.06145239852544652
MA40226J15,MA40226J,1,5,0.7499124238929462,0.1865139068127255,0.004010459525193572,0.007229959311694198,0.05233325045744056
MA40226J34,MA40226J,3,4,0.2226414977246126,0.5399530942634819,0.02511161740853763,0.0021581792386954524,0.21013561136467243
MA40226J35,MA40226J,3,5,0.22961514946653347,0.5568656863671498,0.028461253641972026,0.0022137360778391466,0.18284417444650566
MA40229N12,MA40229N,1,2,0.0,0.011048952831976088,0.037459598664499154,0.0013213590050308176,0.9501700894984938
MA40229N13,MA40229N,1,3,0.0,0.009512052871189142,0.031867757537801175,0.0010741789073712132,0.9575460106836385
MA40262E14,MA40262E,1,4,0.0,0.002644331684886859,0.013249041466579023,1.2132902975904408E-4,0.9839852978187751
MA40262E15,MA40262E,1,5,0.0,0.0035376348650104678,0.031195940438567913,1.5217008520117977E-4,0.9651142546112204
MA40262E16,MA40262E,1,6,0.0,0.003332582749809298,0.024454475038471018,1.487119816292583E-4,0.9720642302300904
