"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"walk.p.age_group_agg_25_39",0.268275347270342,0.159619960285546,1.68071303106718,0.0464093341187534,20.9609137669617,0.0127988383642508,0.989788283271049
"carD.p.female_FALSE",0,NA,NA,NA,NA,NA,NA
"carP.p.female_FALSE",-0.401089820781929,0.0213907117338364,-18.7506533570585,0,0.0846062935681327,-4.7406617624602,2.13021297423843e-06
"pt.p.female_FALSE",-0.369388612807033,0.458936224630809,-0.804880053005596,0.210444450049922,27.5920658657239,-0.0133874938761256,0.989318644390329
"bike.p.female_FALSE",1.12490575907799,0.161900308687525,6.94813844517811,1.85074178205014e-12,4.85290290184909,0.231800590662833,0.81669289826743
"walk.p.female_FALSE",-0.0215792820344973,0.00335227236499522,-6.43721025171773,6.08446626415571e-11,0.0332236615679641,-0.64951546626953,0.516005252895552
"carD.hh.cars_gr_0",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_0",5.21231326715379,0.569026974711647,9.16004600624621,0,6.93614103817546,0.75147163797074,0.452368863468487
"pt.hh.cars_gr_0",7.4980873548758,36.0994964971073,0.207706147798395,0.417729208559525,12190.7647053293,0.000615062921491542,0.999509250821962
"bike.hh.cars_gr_0",7.49165186589449,2.25797017286462,3.31787016317849,0.000453533188316424,126.591258725458,0.0591798512892732,0.952808857852757
"walk.hh.cars_gr_0",7.29833277826277,2.38138392670602,3.06474428436996,0.00108928089523119,310.872319094048,0.0234769464181686,0.981269827509488
"carD.hh.cars_gr_1",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_1",1.65108645863705,0.165157086459962,9.99706699861962,0,2.12809641785743,0.775851340560672,0.437836766102086
"pt.hh.cars_gr_1",2.12148078124633,10.2543975971211,0.206884974095595,0.418049845795104,3302.68964594409,0.000642349420827852,0.999487479349726
"bike.hh.cars_gr_1",2.25846996718796,0.657854911221719,3.43308217155922,0.000298380604120574,35.8165519686054,0.063056599338976,0.949721434194947
"walk.hh.cars_gr_1",1.81576878808124,0.573629460977435,3.16540364748224,0.000774339721732242,70.1432394506683,0.0258865829736631,0.979347801697719
"carD.hh.cars_gr_2",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_2",0.586256603739946,0.0594397146878534,9.86304538671934,0,0.74397764513579,0.788002983117784,0.43069496097131
"pt.hh.cars_gr_2",0.721637086743153,3.53388499256804,0.204205028816952,0.419096640865312,1113.79449458974,0.000647908649439827,0.99948304372797
"bike.hh.cars_gr_2",0.51307551647162,0.152244294769134,3.37008041746101,0.000375731249856792,8.52227208491775,0.0602040760209513,0.951993099410422
"walk.hh.cars_gr_2",0.625114184539565,0.201779474956598,3.09800679516103,0.000974134806816296,22.658721355031,0.027588237427209,0.977990563269304
"carD.carD_time",-0.366652105678571,0.0189919605597719,-19.3056480148343,0,3.81496772087637,-0.0961088356454939,0.923434133964483
"carP.carP_time",-0.266829784492814,0.0135518723745227,-19.6895142692201,0,2.83255303969019,-0.0942011608446344,0.92494936265582
"pt.pt_time",-0.0207977906314728,0.0081832037901819,-2.54152177615639,0.00551855353330166,1.0022844490182,-0.0207503874292826,0.98344477430228
"carD.carD_timeHBW",0.274742115358508,0.0128150018413223,21.4391007321275,0,0.968367923819591,0.283716662438411,0.776627524452489
"carP.carP_timeHBW",0.0973488161779127,0.00445728012948173,21.8404079057135,0,0.361571239698013,0.269238273097216,0.787746329608428
"bike.bike_logDist",-1.63327853283462,0.199628429883324,-8.18159284120612,1.11022302462516e-16,47.2917630429434,-0.0345362157750709,0.972449563551452
"walk.walk_logDist",-2.90435279773948,0.376332792067644,-7.71751189095802,5.88418203051333e-15,124.110536939331,-0.0234013393976308,0.981330136614861
"bike.bike_stressLink",-2.6791521479084,1.00395709634423,-2.66859227118784,0.00380849266361316,36.645594588654,-0.0731098015459107,0.941718742027654
"bike.bike_shannon",1.17621210371835,0.273967658658066,4.29325165415369,8.80376208400868e-06,2.7835885521184,0.422552428886524,0.672621840820779
"walk.walk_shannon",0.210193214166518,0.057507452325383,3.65506044290093,0.000128560696685986,4.41917956070065,0.0475638546203796,0.962063839242695
