minute,arrival_HBW,arrival_HBE,arrival_HBA,arrival_HBS,arrival_HBR,arrival_HBO,arrival_NHBW,arrival_NHBO,duration_HBW,duration_HBE,duration_HBA,duration_HBS,duration_HBR,duration_HBO
842,0.000430582707373722,0.000157855544361706,0.00103836323492325,0.00148956490597393,0.00124571498962893,0.0013452921905068,0.00139760347986325,0.00169633455192252,0.000108788840690377,4.41842863166006e-06,6.29649971078901e-06,1.068008693202e-06,3.56267867519087e-05,6.6260544063087e-06
843,0.000427540720744064,0.000151655088259722,0.00104376779330468,0.00148704376253173,0.00124191797083607,0.00134414579934062,0.00139727177622584,0.00169694732665245,0.000106892994102858,4.44516240173683e-06,6.04922169261277e-06,1.03969851672046e-06,3.55238689238871e-05,6.57615596579796e-06
844,0.000424410759675643,0.000144878179406467,0.00104917738870868,0.00148445868039953,0.00123810668326243,0.00134296497932438,0.00139693472845049,0.00169759425368416,0.000105041496348294,4.47237565899874e-06,5.81064400403265e-06,1.01320130347708e-06,3.54231936308366e-05,6.53138311553813e-06
845,0.00042120102581694,0.000137773021793712,0.00105459011228728,0.00148180765455803,0.00123428167674088,0.001341748485714,0.00139659318525839,0.0016982744729679,0.000103230731277886,4.49966053192357e-06,5.58313259290938e-06,9.88452149804998e-07,3.53249904536856e-05,6.49227889574655e-06
846,0.000417917318939629,0.000130492951570198,0.00106000403735641,0.00147908876858029,0.00123044285792105,0.00134049511720529,0.00139624798753786,0.00169898707733953,0.00010145974966411,4.52671961387302e-06,5.36730157943388e-06,9.65540938202065e-07,3.52290566129483e-05,6.45766127211637e-06
847,0.00041456434420135,0.000123231199769806,0.00106541722052156,0.00147630019612149,0.0012265915816191,0.0013392037164465,0.00139589996783003,0.00169973111298427,9.97276150570842e-05,4.55351336481579e-06,5.16596519492577e-06,9.4411884044487e-07,3.51352520905454e-05,6.42722760841231e-06
848,0.000411159523026822,0.00011615357493852,0.00107082770283151,0.00147344020230743,0.00122272845865385,0.00133787317050905,0.00139554994983094,0.00170050557994415,9.80371453784642e-05,4.58012622128199e-06,4.98027999412059e-06,9.24122281827245e-07,3.50435170958565e-05,6.40089002268007e-06
849,0.000407711447245599,0.00010945473472506,0.00107623351095893,0.00147050401389875,0.00121885411319183,0.00133650241131608,0.00139519874791053,0.00170131134849591,9.63851333878728e-05,4.6068197265083e-06,4.80959306101171e-06,9.05756766213781e-07,3.49538740208967e-05,6.37840692358676e-06
850,0.000404227245150194,0.000103261381449884,0.00108163265840697,0.00146748869260542,0.00121496918267932,0.00133509041602856,0.00139484716664853,0.0017021455800843,9.47690173363806e-05,4.63395842428711e-06,4.65607063540543e-06,8.88740273086837e-07,3.48663346419142e-05,6.35900241050499e-06
851,0.000400715534137065,9.76354472041568e-05,0.00108702314674046,0.00146439706255578,0.0012110743177617,0.00133363620738852,0.00139449600038739,0.00170300679695944,9.31879210202164e-05,4.66195408575309e-06,4.5190931333446e-06,8.73056142320102e-07,3.47805909333396e-05,6.34231122658817e-06
