age,sex,mode,speed
29,MALE,bicycle,3.8098013881582653
21,FEMALE,bicycle,3.718068653036834
22,FEMALE,bicycle,3.718068653036834
23,FEMALE,bicycle,3.718068653036834
24,FEMALE,bicycle,3.718068653036834
25,FEMALE,bicycle,3.718068653036834
26,FEMALE,bicycle,3.718068653036834
27,FEMALE,bicycle,3.718068653036834
28,FEMALE,bicycle,3.718068653036834
29,FEMALE,bicycle,3.718068653036834
30,MALE,bicycle,4.124781929515811
31,MALE,bicycle,4.124781929515811
32,MALE,bicycle,4.124781929515811
33,MALE,bicycle,4.124781929515811
34,MALE,bicycle,4.124781929515811
35,MALE,bicycle,4.124781929515811
36,MALE,bicycle,4.124781929515811
37,MALE,bicycle,4.124781929515811
38,MALE,bicycle,4.124781929515811
39,MALE,bicycle,4.124781929515811
30,FEMALE,bicycle,3.4372561070845107
31,FEMALE,bicycle,3.4372561070845107
32,FEMALE,bicycle,3.4372561070845107
33,FEMALE,bicycle,3.4372561070845107
34,FEMALE,bicycle,3.4372561070845107
35,FEMALE,bicycle,3.4372561070845107
36,FEMALE,bicycle,3.4372561070845107
37,FEMALE,bicycle,3.4372561070845107
38,FEMALE,bicycle,3.4372561070845107
39,FEMALE,bicycle,3.4372561070845107
40,MALE,bicycle,4.004947311599711
41,MALE,bicycle,4.004947311599711
42,MALE,bicycle,4.004947311599711
43,MALE,bicycle,4.004947311599711
44,MALE,bicycle,4.004947311599711
45,MALE,bicycle,4.004947311599711
46,MALE,bicycle,4.004947311599711
47,MALE,bicycle,4.004947311599711
48,MALE,bicycle,4.004947311599711
49,MALE,bicycle,4.004947311599711
40,FEMALE,bicycle,3.227110160335024
41,FEMALE,bicycle,3.227110160335024
42,FEMALE,bicycle,3.227110160335024
43,FEMALE,bicycle,3.227110160335024
44,FEMALE,bicycle,3.227110160335024
45,FEMALE,bicycle,3.227110160335024
46,FEMALE,bicycle,3.227110160335024
47,FEMALE,bicycle,3.227110160335024
48,FEMALE,bicycle,3.227110160335024
49,FEMALE,bicycle,3.227110160335024
50,MALE,bicycle,3.9492051098637457
51,MALE,bicycle,3.9492051098637457
52,MALE,bicycle,3.9492051098637457
53,MALE,bicycle,3.9492051098637457
54,MALE,bicycle,3.9492051098637457
55,MALE,bicycle,3.9492051098637457
56,MALE,bicycle,3.9492051098637457
57,MALE,bicycle,3.9492051098637457
58,MALE,bicycle,3.9492051098637457
59,MALE,bicycle,3.9492051098637457
50,FEMALE,bicycle,3.3128718527914063
51,FEMALE,bicycle,3.3128718527914063
52,FEMALE,bicycle,3.3128718527914063
53,FEMALE,bicycle,3.3128718527914063
54,FEMALE,bicycle,3.3128718527914063
55,FEMALE,bicycle,3.3128718527914063
56,FEMALE,bicycle,3.3128718527914063
57,FEMALE,bicycle,3.3128718527914063
58,FEMALE,bicycle,3.3128718527914063
59,FEMALE,bicycle,3.3128718527914063
60,MALE,bicycle,3.661675741257333
61,MALE,bicycle,3.661675741257333
62,MALE,bicycle,3.661675741257333
63,MALE,bicycle,3.661675741257333
64,MALE,bicycle,3.661675741257333
60,FEMALE,bicycle,3.272993622995615
61,FEMALE,bicycle,3.272993622995615
62,FEMALE,bicycle,3.272993622995615
63,FEMALE,bicycle,3.272993622995615
64,FEMALE,bicycle,3.272993622995615
65,MALE,bicycle,3.6022675429365543
66,MALE,bicycle,3.6022675429365543
67,MALE,bicycle,3.6022675429365543
68,MALE,bicycle,3.6022675429365543
69,MALE,bicycle,3.6022675429365543
70,MALE,bicycle,3.6022675429365543
71,MALE,bicycle,3.6022675429365543
72,MALE,bicycle,3.6022675429365543
73,MALE,bicycle,3.6022675429365543
74,MALE,bicycle,3.6022675429365543
65,FEMALE,bicycle,2.8277961410727577
66,FEMALE,bicycle,2.8277961410727577
67,FEMALE,bicycle,2.8277961410727577
68,FEMALE,bicycle,2.8277961410727577
69,FEMALE,bicycle,2.8277961410727577
70,FEMALE,bicycle,2.8277961410727577
71,FEMALE,bicycle,2.8277961410727577
72,FEMALE,bicycle,2.8277961410727577
73,FEMALE,bicycle,2.8277961410727577
74,FEMALE,bicycle,2.8277961410727577
75,MALE,bicycle,3.10985250394779
76,MALE,bicycle,3.10985250394779
77,MALE,bicycle,3.10985250394779
78,MALE,bicycle,3.10985250394779
79,MALE,bicycle,3.10985250394779
80,MALE,bicycle,3.10985250394779
81,MALE,bicycle,3.10985250394779
82,MALE,bicycle,3.10985250394779
83,MALE,bicycle,3.10985250394779
84,MALE,bicycle,3.10985250394779
85,MALE,bicycle,3.10985250394779
86,MALE,bicycle,3.10985250394779
87,MALE,bicycle,3.10985250394779
88,MALE,bicycle,3.10985250394779
89,MALE,bicycle,3.10985250394779
90,MALE,bicycle,3.10985250394779
91,MALE,bicycle,3.10985250394779
92,MALE,bicycle,3.10985250394779
93,MALE,bicycle,3.10985250394779
94,MALE,bicycle,3.10985250394779
95,MALE,bicycle,3.10985250394779
96,MALE,bicycle,3.10985250394779
97,MALE,bicycle,3.10985250394779
98,MALE,bicycle,3.10985250394779
99,MALE,bicycle,3.10985250394779
100,MALE,bicycle,3.10985250394779
101,MALE,bicycle,3.10985250394779
102,MALE,bicycle,3.10985250394779
103,MALE,bicycle,3.10985250394779
104,MALE,bicycle,3.10985250394779
105,MALE,bicycle,3.10985250394779
75,FEMALE,bicycle,2.3497581199036284
76,FEMALE,bicycle,2.3497581199036284
77,FEMALE,bicycle,2.3497581199036284
78,FEMALE,bicycle,2.3497581199036284
79,FEMALE,bicycle,2.3497581199036284
80,FEMALE,bicycle,2.3497581199036284
81,FEMALE,bicycle,2.3497581199036284
82,FEMALE,bicycle,2.3497581199036284
83,FEMALE,bicycle,2.3497581199036284
84,FEMALE,bicycle,2.3497581199036284
85,FEMALE,bicycle,2.3497581199036284
86,FEMALE,bicycle,2.3497581199036284
87,FEMALE,bicycle,2.3497581199036284
88,FEMALE,bicycle,2.3497581199036284
89,FEMALE,bicycle,2.3497581199036284
90,FEMALE,bicycle,2.3497581199036284
91,FEMALE,bicycle,2.3497581199036284
92,FEMALE,bicycle,2.3497581199036284
